Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.81","208.49","3,195,179.00","666,162,869.71","666,162,869.71","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","3.20","111.75","5,009,726.00","559,836,880.50","559,836,880.50","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.69","1,754.91","268,733.00","471,602,229.03","471,602,229.03","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.63","222.42","1,280,454.00","284,798,578.68","284,798,578.68","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.47","145.30","1,774,391.00","257,819,012.30","257,819,012.30","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.42","112.38","2,210,225.00","248,385,085.50","248,385,085.50","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.33","147.87","1,571,524.00","232,381,253.88","232,381,253.88","Communication","B7TL820","US30303M1027","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.29","80.89","2,799,774.00","226,473,718.86","226,473,718.86","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.24","1,082.40","201,276.00","217,861,142.40","217,861,142.40","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.23","1,094.63","197,498.00","216,187,235.74","216,187,235.74","Communication","BYVY8G0","US02079K3059","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.01","28.87","6,151,284.00","177,587,569.08","177,587,569.08","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.00","276.65","631,474.00","174,697,282.10","174,697,282.10","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.98","145.23","1,181,269.00","171,555,696.87","171,555,696.87","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.96","43.85","3,833,313.00","168,090,775.05","168,090,775.05","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.91","58.27","2,733,087.00","159,256,979.49","159,256,979.49","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.87","53.16","2,867,942.00","152,459,796.72","152,459,796.72","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.86","48.44","3,109,950.00","150,645,978.00","150,645,978.00","Information Technology","2198163","US17275R1023","NASDAQ"
"PG","PROCTER & GAMBLE","Equity","0.86","91.36","1,647,334.00","150,500,434.24","150,500,434.24","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.86","119.36","1,259,673.00","150,354,569.28","150,354,569.28","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION","Equity","0.85","48.99","3,049,309.00","149,385,647.91","149,385,647.91","Information Technology","2463247","US4581401001","NASDAQ"
"T","AT&T INC","Equity","0.85","31.04","4,807,423.00","149,222,409.92","149,222,409.92","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.82","188.00","762,152.00","143,284,576.00","143,284,576.00","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.76","75.48","1,760,527.00","132,884,577.96","132,884,577.96","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.76","370.77","357,852.00","132,680,786.04","132,680,786.04","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.72","208.86","607,564.00","126,895,817.04","126,895,817.04","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.71","49.33","2,529,820.00","124,796,020.60","124,796,020.60","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.66","38.30","3,021,687.00","115,730,612.10","115,730,612.10","Communication","2044545","US20030N1019","NASDAQ"
"DIS","WALT DISNEY","Equity","0.65","116.00","986,032.00","114,379,712.00","114,379,712.00","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.64","67.78","1,664,887.00","112,846,040.86","112,846,040.86","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.62","116.06","936,983.00","108,746,246.98","108,746,246.98","Consumer Staples","2681511","US7134481081","NASDAQ"
"WMT","WALMART INC","Equity","0.57","104.88","943,629.00","98,967,809.52","98,967,809.52","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.54","185.48","513,675.00","95,276,439.00","95,276,439.00","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.53","50.43","1,853,173.00","93,455,514.39","93,455,514.39","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.53","89.48","1,027,461.00","91,937,210.28","91,937,210.28","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","0.52","59.44","1,535,587.00","91,275,291.28","91,275,291.28","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.50","87.73","1,002,265.00","87,928,708.45","87,928,708.45","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.50","317.92","275,170.00","87,482,046.40","87,482,046.40","Communication","2857817","US64110L1061","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.48","94.74","894,743.00","84,767,951.82","84,767,951.82","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.48","196.02","428,315.00","83,958,306.30","83,958,306.30","Health Care","2023607","US0311621009","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.47","72.96","1,131,389.00","82,546,141.44","82,546,141.44","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.47","65.37","1,252,280.00","81,861,543.60","81,861,543.60","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.46","249.96","324,588.00","81,134,016.48","81,134,016.48","Information Technology","2008154","US00724F1012","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.45","205.99","384,924.00","79,290,494.76","79,290,494.76","Information Technology","2379504","US67066G1040","NASDAQ"
"MMM","3M","Equity","0.44","204.07","377,049.00","76,944,389.43","76,944,389.43","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.43","123.38","607,557.00","74,960,382.66","74,960,382.66","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.43","152.39","489,381.00","74,576,770.59","74,576,770.59","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.42","150.55","493,742.00","74,332,858.10","74,332,858.10","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.40","89.04","785,639.00","69,953,296.56","69,953,296.56","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity","0.40","164.50","425,183.00","69,942,603.50","69,942,603.50","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.40","110.10","630,459.00","69,413,535.90","69,413,535.90","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.39","238.70","289,069.00","69,000,770.30","69,000,770.30","Consumer Staples","2701271","US22160K1051","NASDAQ"
"AVGO","BROADCOM INC","Equity","0.39","240.25","284,998.00","68,470,769.50","68,470,769.50","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.38","141.87","466,693.00","66,209,735.91","66,209,735.91","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.37","245.57","265,078.00","65,095,204.46","65,095,204.46","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.37","131.34","495,259.00","65,047,317.06","65,047,317.06","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.37","77.78","829,625.00","64,528,232.50","64,528,232.50","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.36","98.48","647,763.00","63,791,700.24","63,791,700.24","Information Technology","2885409","US8825081040","NASDAQ"
"LIN","LINDE PLC","Equity","0.36","165.30","378,891.00","62,630,682.30","62,630,682.30","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"BKNG","BOOKING HOLDINGS INC","Equity","0.35","1,977.61","31,321.00","61,940,722.81","61,940,722.81","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.35","71.88","856,062.00","61,533,736.56","61,533,736.56","Health Care","2369174","US3755581036","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.34","68.72","868,494.00","59,682,907.68","59,682,907.68","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.33","52.81","1,081,728.00","57,126,055.68","57,126,055.68","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.33","58.05","980,338.00","56,908,620.90","56,908,620.90","Information Technology","2714923","US7475251036","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.31","231.65","234,021.00","54,210,964.65","54,210,964.65","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.31","173.96","311,543.00","54,196,020.28","54,196,020.28","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.31","52.93","1,016,635.00","53,810,490.55","53,810,490.55","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.31","80.05","671,933.00","53,788,236.65","53,788,236.65","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.31","99.47","539,852.00","53,699,078.44","53,699,078.44","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.30","9.10","5,700,714.00","51,876,497.40","51,876,497.40","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.30","66.91","774,304.00","51,808,680.64","51,808,680.64","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.29","111.50","456,644.00","50,915,806.00","50,915,806.00","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.29","108.50","468,785.00","50,863,172.50","50,863,172.50","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.29","308.56","163,999.00","50,603,531.44","50,603,531.44","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.29","131.39","383,750.00","50,420,912.50","50,420,912.50","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.28","287.37","172,194.00","49,483,389.78","49,483,389.78","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.27","51.58","916,730.00","47,284,933.40","47,284,933.40","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.26","159.36","289,919.00","46,201,491.84","46,201,491.84","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.26","82.44","559,497.00","46,124,932.68","46,124,932.68","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"TJX","TJX INC","Equity","0.26","55.54","829,434.00","46,066,764.36","46,066,764.36","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.25","189.43","233,707.00","44,271,117.01","44,271,117.01","Financials","2965839","US12572Q1058","NASDAQ"
"AET","AETNA INC","Equity","0.25","209.23","211,482.00","44,248,378.86","44,248,378.86","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.25","326.04","133,088.00","43,392,011.52","43,392,011.52","Health Care","2455965","US09062X1037","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.25","147.89","291,404.00","43,095,737.56","43,095,737.56","Information Technology","2065308","US0530151036","NASDAQ"
