,Symbol
0,mmm
1,abt
2,abbv
3,abmd
4,acn
5,atvi
6,adbe
7,amd
8,aap
9,aes
10,amg
11,afl
12,a
13,apd
14,akam
15,alk
16,alb
17,are
18,alxn
19,algn
20,alle
21,agn
22,ads
23,lnt
24,all
25,googl
26,goog
27,mo
28,amzn
29,aee
30,aal
31,aep
32,axp
33,aig
34,amt
35,awk
36,amp
37,abc
38,ame
39,amgn
40,aph
41,apc
42,adi
43,anss
44,antm
45,aon
46,aos
47,apa
48,aiv
49,aapl
50,amat
51,aptv
52,adm
53,arnc
54,anet
55,ajg
56,aiz
57,t
58,adsk
59,adp
60,azo
61,avb
62,avy
63,bhge
64,bll
65,bac
66,bk
67,bax
68,bbt
69,bdx
70,brkb
71,bby
72,biib
73,blk
74,hrb
75,ba
76,bkng
77,bwa
78,bxp
79,bsx
80,bhf
81,bmy
82,avgo
83,br
84,bfb
85,chrw
86,cog
87,cdns
88,cpb
89,cof
90,cpri
91,cah
92,kmx
93,ccl
94,cat
95,cboe
96,cbre
97,cbs
98,ce
99,celg
100,cnc
101,cnp
102,ctl
103,cern
104,cf
105,schw
106,chtr
107,cvx
108,cmg
109,cb
110,chd
111,ci
112,xec
113,cinf
114,ctas
115,csco
116,c
117,cfg
118,ctxs
119,clx
120,cme
121,cms
122,ko
123,ctsh
124,cl
125,cmcsa
126,cma
127,cag
128,cxo
129,cop
130,ed
131,stz
132,coo
133,cprt
134,glw
135,cost
136,coty
137,cci
138,csx
139,cmi
140,cvs
141,dhi
142,dhr
143,dri
144,dva
145,de
146,dal
147,xray
148,dvn
149,fang
150,dlr
151,dfs
152,disca
153,disck
154,dish
155,dg
156,dltr
157,d
158,dov
159,dwdp
160,dte
161,dre
162,duk
163,dxc
164,etfc
165,emn
166,etn
167,ebay
168,ecl
169,eix
170,ew
171,ea
172,emr
173,etr
174,eog
175,efx
176,eqix
177,eqr
178,ess
179,el
180,evrg
181,es
182,re
183,exc
184,expe
185,expd
186,exr
187,xom
188,ffiv
189,fb
190,fast
191,frt
192,fdx
193,fis
194,fitb
195,fe
196,frc
197,fisv
198,flt
199,flir
200,fls
201,flr
202,fmc
203,fl
204,f
205,ftnt
206,ftv
207,fbhs
208,ben
209,fcx
210,gps
211,grmn
212,it
213,gd
214,ge
215,gis
216,gm
217,gpc
218,gild
219,gpn
220,gs
221,gt
222,gww
223,hal
224,hbi
225,hog
226,hrs
227,hig
228,has
229,hca
230,hcp
231,hp
232,hsic
233,hsy
234,hes
235,hpe
236,hlt
237,hfc
238,holx
239,hd
240,hon
241,hrl
242,hst
243,hpq
244,hum
245,hban
246,hii
247,idxx
248,info
249,itw
250,ilmn
251,ir
252,intc
253,ice
254,ibm
255,incy
256,ip
257,ipg
258,iff
259,intu
260,isrg
261,ivz
262,ipgp
263,iqv
264,irm
265,jkhy
266,jec
267,jbht
268,jef
269,sjm
270,jnj
271,jci
272,jpm
273,jnpr
274,ksu
275,k
276,key
277,keys
278,kmb
279,kim
280,kmi
281,klac
282,kss
283,khc
284,kr
285,lb
286,lll
287,lh
288,lrcx
289,lw
290,leg
291,len
292,lly
293,lnc
294,lin
295,lkq
296,lmt
297,l
298,low
299,lyb
300,mtb
301,mac
302,m
303,mro
304,mpc
305,mar
306,mmc
307,mlm
308,mas
309,ma
310,mat
311,mkc
312,mxim
313,mcd
314,mck
315,mdt
316,mrk
317,met
318,mtd
319,mgm
320,mchp
321,mu
322,msft
323,maa
324,mhk
325,tap
326,mdlz
327,mnst
328,mco
329,ms
330,mos
331,msi
332,msci
333,myl
334,ndaq
335,nov
336,nktr
337,ntap
338,nflx
339,nwl
340,nfx
341,nem
342,nwsa
343,nws
344,nee
345,nlsn
346,nke
347,ni
348,nbl
349,jwn
350,nsc
351,ntrs
352,noc
353,nclh
354,nrg
355,nue
356,nvda
357,orly
358,oxy
359,omc
360,oke
361,orcl
362,pcar
363,pkg
364,ph
365,payx
366,pypl
367,pnr
368,pbct
369,pep
370,pki
371,prgo
372,pfe
373,pcg
374,pm
375,psx
376,pnw
377,pxd
378,pnc
379,rl
380,ppg
381,ppl
382,pfg
383,pg
384,pgr
385,pld
386,pru
387,peg
388,psa
389,phm
390,pvh
391,qrvo
392,pwr
393,qcom
394,dgx
395,rjf
396,rtn
397,o
398,rht
399,reg
400,regn
401,rf
402,rsg
403,rmd
404,rhi
405,rok
406,rol
407,rop
408,rost
409,rcl
410,crm
411,sbac
412,slb
413,stx
414,see
415,sre
416,shw
417,spg
418,swks
419,slg
420,sna
421,so
422,luv
423,spgi
424,swk
425,sbux
426,stt
427,syk
428,sti
429,sivb
430,symc
431,syf
432,snps
433,syy
434,trow
435,ttwo
436,tpr
437,tgt
438,tel
439,fti
440,txn
441,txt
442,tmo
443,tif
444,twtr
445,tjx
446,tmk
447,tss
448,tsco
449,tdg
450,trv
451,trip
452,foxa
453,fox
454,tsn
455,udr
456,ulta
457,usb
458,uaa
459,ua
460,unp
461,ual
462,unh
463,ups
464,uri
465,utx
466,uhs
467,unm
468,vfc
469,vlo
470,var
471,vtr
472,vrsn
473,vrsk
474,vz
475,vrtx
476,viab
477,v
478,vno
479,vmc
480,wmt
481,wba
482,dis
483,wm
484,wat
485,wec
486,wcg
487,wfc
488,well
489,wdc
490,wu
491,wrk
492,wy
493,whr
494,wmb
495,wltw
496,wynn
497,xel
498,xrx
499,xlnx
500,xyl
501,yum
502,zbh
503,zion
504,zts
