,fund,cik
0,ODEY EUROPEAN INC,['0001272055']
1,CRESCAT GLOBAL MACRO FUND II LP,['0001454616']
2,CRESCAT GLOBAL MACRO FUND LP,['0001435030']
3,CRESCAT LONG,['0001442351']
4,DASOMA PARTNERS LP,['0001682282']
5,SOMA PARTNERS,['0001089678']
6,SOMA PARTNERS,['0001667404']
7,ACADIAN ACWI EX US SMALL,['0001635263']
8,ACADIAN ADR FUND LLC,['0001452107']
9,ACADIAN ADR FUND,['0001452107']
10,ACADIAN ALGORITHMIC US GROWTH FUND,['0001442330']
11,ACADIAN ALL COUNTRY WORLD EX US FUND,['0001408860']
12,ACADIAN ALL COUNTRY WORLD EX US LONG,['0001408861']
13,ACADIAN ALL COUNTRY WORLD MANAGED VOLATILITY EQUITY FUND,['0001695856']
14,ACADIAN ASSET MANAGEMENT INC ,['0000916542']
15,ACADIAN ASSET MANAGEMENT LLC,['0000916542']
16,ACADIAN CHINA A SHARES EQUITY FUND,['0001729115']
17,ACADIAN COMPOSITES LLC,['0001172110']
18,ACADIAN CONCENTRATED LONG,['0001442333']
19,ACADIAN CONCETRATED LONG SHORT FUND,['0001442333']
20,ACADIAN DIVERSIFIED ALPHA EQUITY FUND,['0001679279']
21,ACADIAN DIVERSIFIED ALPHA EQUITY FUND,['0001698260']
22,ACADIAN DIVERSIFIED ALPHA INSTITUTIONAL EQUITY FUND,['0001679237']
23,ACADIAN DIVERSIFIED ALPHA UNCONSTRAINED EQUITY FUND,['0001679237']
24,ACADIAN EMERGING MARKETS EQUITY FUND,['0001267697']
25,ACADIAN EMERGING MARKETS EQUITY II FUND,['0001461762']
26,ACADIAN EMERGING MARKETS EQUITY LLC,['0001456888']
27,ACADIAN EMERGING MARKETS LOCAL DEBT FUND LLC,['0001442339']
28,ACADIAN EMERGING MARKETS LOCAL DEBT FUND,['0001442339']
29,ACADIAN EMERGING MARKETS MANAGED VOLATILITY EQUITY FUND,['0001592916']
30,ACADIAN EMERGING MARKETS SMALL,['0001533444']
31,ACADIAN EMERGING MARKETS SMALL,['0001631908']
32,ACADIAN EMERGING MARKETS SMALL,['0001729122']
33,ACADIAN EUROPEAN EQUITY LONG,['0001459373']
34,ACADIAN EUROPEAN LONG,['0001408862']
35,ACADIAN FRONTIER MARKETS EQUITY FUND,['0001405793']
36,ACADIAN FUND LTD,['0001443574']
37,ACADIAN GLOBAL ABSOLUTE RETURN BOND FUND,['0001592977']
38,ACADIAN GLOBAL EQUITY FUND,['0001405788']
39,ACADIAN GLOBAL GROWTH EQUITY FUND LLC,['0001458138']
40,ACADIAN GLOBAL LEVERAGED MARKET NEUTRAL FUND,['0001560191']
41,ACADIAN GLOBAL LEVERAGED MARKET NEUTRAL FUND,['0001560197']
42,ACADIAN GLOBAL LONG,['0001442838']
43,ACADIAN GLOBAL LOW VOLATILITY EQUITY FUND,['0001442329']
44,ACADIAN GLOBAL LOW VOLATILITY EQUITY FUND,['0001458814']
45,ACADIAN GLOBAL LOW VOLATILITY FUND,['0001442329']
46,ACADIAN GLOBAL MANAGED VOLATILITY EQUITY FUND,['0001442329']
47,ACADIAN GLOBAL MARKET NEUTRAL FUND,['0001442838']
48,ACADIAN GLOBAL WITH OPPORTUNISTIC SHORTING FUND,['0001408863']
49,ACADIAN GOLD CORP,['0001275490']
50,ACADIAN INTERNATIONAL ALL CAP FUND,['0001408858']
51,ACADIAN INTERNATIONAL EQUITY FUND LLC,['0001408856']
52,ACADIAN INTERNATIONAL EQUITY FUND,['0001408856']
53,ACADIAN INTERNATIONAL EXTENSION PLUS EQUITY FUND,['0001408863']
54,ACADIAN INTERNATIONAL SMALL CAP FUND,['0001253769']
55,ACADIAN INTERNATIONAL SMALL CAP LONG,['0001408859']
56,ACADIAN INTERNATIONAL SMALL,['0001408859']
57,ACADIAN JAPANESE EQUITY FUND,['0001408857']
58,ACADIAN LIQUID MULTI,['0001729098']
59,ACADIAN MULTI,['0001708339']
60,ACADIAN MULTI,['0001514301']
61,ACADIAN NON,['0001642619']
62,ACADIAN NON,['0001442331']
63,ACADIAN NON,['0001632994']
64,ACADIAN NON,['0001657161']
65,ACADIAN NORTH AMERICAN ALGORITHMIC MARKET NEUTRAL FUND,['0001442336']
66,ACADIAN NORTH AMERICAN GROWTH LONG SHORT EQUITY FUND LLC,['0001448273']
67,ACADIAN NORTH AMERICAN LONG,['0001458815']
68,ACADIAN NORTH AMERICAN LONG,['0001442336']
69,ACADIAN SUSTAINABLE EMERGING MARKETS EQUITY EX,['0001701877']
70,ACADIAN TAX AWARE EMERGING MARKETS EQUITY FUND,['0001573741']
71,ACADIAN U.S. MANAGED VOLATILITY EQUITY FUND,['0001516584']
72,ACADIAN US GROWTH EQUITY FUND LLC,['0001448272']
73,ACADIAN US GROWTH EQUITY FUND,['0001442330']
74,ACADIAN US MICROCAP EQUITY FUND,['0001633006']
75,ACADIAN,['0001410161']
76,ACADIAN,['0001421790']
77,ACADIAN,['0001413067']
78,ACADIAN,['0001404277']
79,ACADIANA ADDICTION CENTER,['0001535805']
80,ACADIANA BANCSHARES INC ,['0001011024']
81,ACADIANA BANCSHARES INC EMPLOYEE STOCK OWNERSHIP PLAN TRUST,['0001031663']
82,ACADIANA BANCSHARES INC,['0000350747']
83,ACADIANA CK LEASING LLC,['0001370896']
84,ARCADIAN ,"['1', '0001112401']"
85,ARCADIAN CLUB,['0001539278']
86,ARCADIAN CORP,['0000862450']
87,ARCADIAN ENERGY,['0001439268']
88,ARCADIAN MANAGEMENT SERVICES INC,['0001063520']
89,ARCADIAN NETWORKS INC,['0001362129']
90,ARCADIAN NEW VENTURE FUND,['0001760895']
91,ARCADIAN PARTNERS L P,['0000883906']
92,ARCADIAN QUAY HOLDINGS,['0001687115']
93,CADIAN CAPITAL MANAGEMENT,['0001423686']
94,CADIAN CAPITAL MANAGEMENT,['0001423686']
95,CADIAN FUND LP,['0001420604']
96,CADIAN MASTER FUND L.P.,['0001587291']
97,CADIAN OFFSHORE FUND LTD.,['0001420605']
98,CADIAN OFFSHORE FUND LTD,['0001420605']
99,CASCADIAN KING COMPANY,['0001618212']
100,CASCADIAN SOUTH L.L.C.,['0001618207']
101,CASCADIAN THERAPEUTICS,['0001412067']
102,CICADIAN PARTNERS LLC,['0001283291']
103,CIRCADIAN INC,['0000738014']
104,CIRCADIAN PARTNERS LLC,['0001253492']
105,CIRCADIAN TECHNOLOGIES LTD,['0001519995']
106,CIRCADIAN ZIRCLIGHT LLC,['0001681413']
107,CIRCADIAN ZIRCLIGHT,['0001681737']
108,CIRCADIANCE,['0001646751']
109,CIRCADIANT SYSTEMS INC,['0001122591']
110,DECADIAN,['0001654720']
111,GOLD SACHS GMS INTERNATIONAL EQUITY ASVISER ,"['5', '0001373211']"
112,GOLDMAN SACHS GMS INTERNATIONAL EQUITY ADVISERS ,"['5', '0001376147']"
113,HW ACADIANA INVESTORS,['0001486337']
114,PNW CASCADIAN COMPANY,['0001618311']
115,REGIONAL HEALTH SYSTEM OF ACADIANA,['0001392864']
116,SPINAL PARTNERS OF ACADIANA LLC,['0001422602']
117,SYNERGY HOME CARE,['0001627055']
118,MUDRICK CAPITAL ACQUISITION CORP,['0001718405']
119,MUDRICK CAPITAL ACQUISITION HOLDINGS LLC,['0001718394']
120,MUDRICK CAPITAL MANAGEMENT LLC,['0001730922']
121,MUDRICK CAPITAL MANAGEMENT,['0001655183']
122,RIPOSTE GLOBAL OPPORTUNITY FUND LTD,['0001661432']
123,RIPOSTE GLOBAL OPPORTUNITY FUND,['0001661735']
124,LUXOR CAPITAL PARTNERS OFFSHORE LTD,['0001356913']
125,ALPHAKEYS RENAISSANCE INSTITUTIONAL EQUITIES FUND I,['0001395039']
126,ALPHAKEYS RENAISSANCE INSTITUTIONAL EQUITIES FUND II,['0001407149']
127,BA HEDGE FUND DIRECT ,['0001459362']
128,RENAISSANCE INSTITUTIONAL EQUITIES FUND INTERNATIONAL L.P.,['0001703959']
129,RENAISSANCE INSTITUTIONAL EQUITIES FUND LLC,['0001333222']
130,UBS RENAISSANCE INSTITUTIONAL EQUITIES FUND I LLC,['0001395039']
131,UBS RENAISSANCE INSTITUTIONAL EQUITIES FUND I,['0001395039']
132,UBS RENAISSANCE INSTITUTIONAL EQUITIES FUND II LLC,['0001407149']
133,UBS RENAISSANCE INSTITUTIONAL EQUITIES FUND II,['0001407149']
134,HEARD OPPORTUNITY FUND LLC,['0001574457']
135,KL SPECIAL OPPORTUNITIES FUND LP,['0001575813']
136,KL SPECIAL OPPORTUNITIES FUND LTD.,['0001555766']
137,KL SPECIAL OPPORTUNITIES FUND LTD,['0001555766']
138,KL SPECIAL OPPORTUNITIES MASTER FUND LTD.,['0001734681']
139,VOCE CAPITAL MANAGEMENT LLC,['0001563530']
140,VOCE CAPITAL PARTNERS LP,['0001528449']
141,BRAHMAN CAPITAL CORP ,['0000826803']
142,BRAHMAN CAPITAL CORP.,['0001014894']
143,BRAHMAN CAPITAL CORP,['0001014894']
144,MARSHALL WACE EUREKA ASP FUND,['0001606450']
145,PERSHING SQUARE HOLDINGS GP,['0001336483']
146,PERSHING SQUARE HOLDINGS,['0001565935']
147,BBH WEALTH STRATEGIES,['0001578632']
148,COATUE QUALIFIED PARTNERS LP,['0001238492']
149,COATUE QUALIFIED PARTNERS,['0001238492']
150,OZ MASTER FUND,['0001054589']
151,CAIS THIRD POINT OFFSHORE FUND LTD.,['0001523889']
152,THIRD POINT OFFSHORE FUND,['0001300970']
153,THIRD POINT OFFSHORE MASTER FUND,['0001453151']
154,GREENLIGHT CAPITAL ,['0001489111']
155,GREENLIGHT CAPITAL ADVISORS,['0001300763']
156,GREENLIGHT CAPITAL INC,['0001079114']
157,GREENLIGHT CAPITAL L P,['0001015370']
158,GREENLIGHT CAPITAL LLC,['0001040272']
159,GREENLIGHT CAPITAL OFFSHORE ,['0001489112']
160,GREENLIGHT CAPITAL OFFSHORE MASTER ,['0001489108']
161,GREENLIGHT CAPITAL OFFSHORE PARTNERS,['0001491193']
162,GREENLIGHT CAPITAL OFFSHORE QUALIFIED LTD,['0001454696']
163,GREENLIGHT CAPITAL OFFSHORE QUALIFIED,['0001454696']
164,GREENLIGHT CAPITAL OFFSHORE,['0001358086']
165,GREENLIGHT CAPITAL QUALIFIED LP ,['0001052968']
166,GREENLIGHT CAPITAL QUALIFIED,['0001052968']
167,GREENLIGHT CAPITAL RE,['0001385613']
168,GREENLIGHT CAPITAL,['0001015370']
169,APPALOOSA CAPITAL INC.,['0001660080']
170,APPALOOSA INVESTMENT LIMITED PARTNERSHIP I,['0000909488']
171,APPALOOSA INVESTMENT LIMITED PARTNERSHIP I,['0001485034']
172,APPALOOSA INVESTMENT LP I,['0000909488']
173,APPALOOSA LP,['0001656456']
174,APPALOOSA MANAGEMENT LP ET AL,['0000923088']
175,APPALOOSA MANAGEMENT LP,['0001006438']
176,APPALOOSA PARTNERS INC,['0001256430']
177,AQR CAPITAL MANAGEMENT HOLDINGS,['0001633376']
178,AQR CAPITAL MANAGEMENT II LLC                           ,['0001061302']
179,AQR CAPITAL MANAGEMENT LLC                              ,['0001061303']
180,AQR CAPITAL MANAGEMENT LLC,['0001167557']
181,ARROWGRASS CAPITAL PARTNERS ,['0001454288']
182,ARROWGRASS CAPITAL PARTNERS LLP,['0001512754']
183,ARROWGRASS CAPITAL SERVICES ,['0001476228']
184,ARROWGRASS CUSTOMISED SOLUTIONS I INTERNATIONAL LTD,['0001669247']
185,ARROWGRASS CUSTOMISED SOLUTIONS I LP,['0001659505']
186,ARROWGRASS DISTRESSED OPPORTUNITIES LP,['0001542801']
187,ARROWGRASS EQUITY FOCUS INTERNATIONAL LTD.,['0001483361']
188,ARROWGRASS EQUITY FOCUS LP,['0001483362']
189,ARROWGRASS INTERNATIONAL FUND LTD.,['0001483363']
190,ARROWGRASS MASTER FUND LTD,['0001443644']
191,ARROWGRASS PARTNERSHIP LP,['0001459466']
192,ARROWGRASS VEGA LP,['0001515783']
193,ASPECT CAPITAL LTD,['0001393234']
194,BAUPOST GROUP GP,['0001738693']
195,BAUPOST GROUP INC,['0000842322']
196,BAUPOST GROUP LLC ,['0001054420']
197,BAUPOST GROUP LLC,['0001061768']
198,BLACKROCK ADVISORS ,['0001034551']
199,BLACKROCK ADVISORS INC,['0001086364']
200,BLACKROCK ADVISORS LLC,['0001086364']
201,BLUEBAY ASSET MANAGEMENT LLP,['0001402568']
202,BLUEBAY ASSET MANAGEMENT LTD,['0001383918']
203,BLUEBAY ASSET MANAGEMENT LTD,['0001402568']
204,BLUEBAY ASSET MANAGEMENT PLC,['0001402568']
205,BLUEBAY ASSET MANAGEMENT USA LLC,['0001628351']
206,BLUECREST CAPITAL MANAGEMENT LLP,['0001363542']
207,BLUECREST CAPITAL MANAGEMENT LTD,['0001363542']
208,BLUECREST CAPITAL MANAGEMENT LTD,['0001445563']
209,BLUECREST CAPITAL MANAGEMENT LTD,['0001610880']
210,ALTERNATIVEFOCUS BREVAN HOWARD L.P.,['0001476585']
211,ALTERNATIVEFOCUS BREVAN HOWARD LTD.,['0001476584']
212,BREVAN HOWARD ,['0001600218']
213,BREVAN HOWARD AH FUND LTD.,['0001699450']
214,BREVAN HOWARD AH FUND,['0001699427']
215,BREVAN HOWARD ALPHA STRATEGIES FUND LTD,['0001750654']
216,BREVAN HOWARD ALPHA STRATEGIES FUND,['0001750653']
217,BREVAN HOWARD ARGENTINA FUND LTD,['0001628076']
218,BREVAN HOWARD ARGENTINA FUND,['0001628073']
219,BREVAN HOWARD AS MACRO FUND LTD.,['0001718766']
220,BREVAN HOWARD AS MACRO FUND,['0001718772']
221,BREVAN HOWARD ASIA FUND LP,['0001402821']
222,BREVAN HOWARD ASIA FUND LTD,['0001403020']
223,BREVAN HOWARD ASSET MANAGEMENT LLP,['0001415453']
224,BREVAN HOWARD CAPITAL MANAGEMENT LP,['0001512857']
225,BREVAN HOWARD CMBS FUND LTD,['0001550878']
226,BREVAN HOWARD CMBS FUND,['0001550984']
227,BREVAN HOWARD COMMODITIES STRATEGIES FUND LTD,['0001489617']
228,BREVAN HOWARD COMMODITIES STRATEGIES FUND,['0001489618']
229,BREVAN HOWARD CREDIT CATALYSTS FUND LTD,['0001466293']
230,BREVAN HOWARD CREDIT CATALYSTS FUND,['0001466241']
231,BREVAN HOWARD CREDIT VALUE FUND LTD,['0001544985']
232,BREVAN HOWARD CREDIT VALUE FUND,['0001544984']
233,BREVAN HOWARD DIVERSIFIED STRATEGIES FUND LTD.,['0001714114']
234,BREVAN HOWARD DIVERSIFIED STRATEGIES FUND,['0001714120']
235,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME FUND LTD.,['0001528623']
236,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME FUND,['0001517605']
237,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME LEVERAGED FUND LTD,['0001596090']
